"Entidad","UPM","VIV_SEL","HOGAR","RESUL_H","R_SEL","AREAM","AP4_1","AP4_2_03","FAC_ELE"
"09","0920578","03","01","A","01","01","3","0",1183
"28","2807609","03","01","B","01",NA,"3","0",520
"26","2605459","01","01","B","02",NA,"3","0",2350
"24","2403303","14","01","B","01",NA,"3","0",1443
"12","1260123","01","01","B","01",NA,"3","0",812
"06","0600917","02","01","B","03","33","3","0",192
"06","0600914","05","01","A","01","33","3","0",154
"30","3061498","04","01","B","01",NA,"3","0",1022
"01","0101302","04","01","B","01","14","3","0",186
"24","2402766","01","01","B","03","07","3","0",1362
"10","1060234","04","01","B","03",NA,"3","1",564
"09","0918130","03","01","B","02","01","3","0",3038
"25","2504641","05","01","B","01",NA,"3","1",440
"10","1060226","20","01","A","02",NA,"3","0",292
"10","1001154","04","01","B","01","26","3","0",990
"01","0102354","09","01","B","02",NA,"3","1",640
"27","2701150","09","01","B","02",NA,"3","0",438
"28","2807609","19","01","B","01",NA,"3","0",780
"19","1903762","02","01","B","03","03","3","0",1587
"24","2460981","18","01","A","04",NA,"3","0",1525
"19","1903337","04","01","B","01","03","3","1",2056
"02","0205218","05","01","B","01","21","3","0",1269
"06","0601466","15","01","A","02",NA,"3","1",116
"30","3003891","01","01","A","02","12","1","0",1008
"22","2202481","10","01","A","02",NA,"3","0",218
"31","3101025","02","01","A","01","08","3","1",196
"20","2000569","01","01","B","04","31","3","0",1020
"18","1800686","01","01","A","01","27","3","0",400
"15","1526060","05","01","A","02","01","3","0",7032
"09","0900237","04","01","B","01","01","3","0",7490
"16","1661555","16","01","B","01",NA,"3","1",348
"32","3260143","08","01","B","02",NA,"3","1",446
"11","1105091","02","02","B","02",NA,"3","1",1132
"03","0300058","02","01","A","01","40","3","1",282
"13","1300279","03","01","B","01","43","1","0",1005
"03","0300222","03","01","A","01","40","3","1",93
"07","0762502","03","01","B","01",NA,"3","0",590
"22","2202996","11","01","B","01",NA,"3","1",222
"10","1000659","02","01","A","01","26","3","0",380
"01","0100270","02","01","B","01","14","3","0",198
"12","1260890","10","01","B","01",NA,"3","0",740
"29","2900784","01","01","A","01","39","3","0",308
"19","1901943","03","01","A","01","03","3","0",1038
"22","2260166","15","01","B","04",NA,"3","1",865
"15","1501669","03","01","A","01","01","3","1",2808
"24","2402985","01","01","A","01","07","3","0",702
"15","1507941","04","01","B","01","01","3","0",4398
"24","2401730","01","01","B","03","07","3","0",1341
"31","3100049","05","01","A","03","08","3","0",792
"07","0760147","14","01","B","02",NA,"3","0",658
"29","2900162","06","01","B","03",NA,"3","0",390
"25","2560860","12","01","B","01",NA,"3","0",615
"25","2501481","05","01","A","01","24","3","0",243
"27","2701351","11","01","B","02",NA,"3","0",789
"07","0760289","01","01","B","02",NA,"3","0",610
"07","0703362","03","01","B","01",NA,"3","0",786
"20","2061406","10","01","B","01",NA,"3","0",1516
"21","2105307","03","01","B","02",NA,"3","0",1293
"22","2260551","20","01","A","02",NA,"1","1",549
"17","1701306","01","01","B","02","29","3","0",771
"27","2760980","17","01","B","02",NA,"3","1",266
"30","3001015","02","01","B","01",NA,"3","0",2484
"13","1361476","14","01","B","02",NA,"3","0",884
"17","1760124","07","01","A","01",NA,"3","0",410
"10","1001646","01","01","A","01",NA,"3","1",322
"01","0160236","16","01","B","01",NA,"3","0",764
"13","1360557","06","01","B","02",NA,"3","0",562
"31","3100421","01","01","B","01","08","3","1",812
"28","2804196","05","01","A","01",NA,"3","0",568
"32","3260039","03","01","B","01",NA,"3","0",220
"29","2900137","05","02","A","01","39","3","0",244
"03","0300384","01","02","B","01","40","3","0",158
"18","1800283","02","01","B","01","27","3","0",328
"02","0202878","01","01","A","02",NA,"1","0",584
"12","1201211","01","01","B","02","13","3","0",1236
"29","2900140","01","01","A","03","39","3","0",393
"17","1700873","04","01","A","01","29","3","1",410
"24","2460992","05","01","B","01",NA,"3","0",1113
"15","1502975","04","01","A","02","01","3","0",8630
"19","1906874","05","01","B","01","03","3","0",1800
"09","0920339","05","01","A","02","01","3","0",2604
"18","1800502","02","01","A","01","27","3","0",552
"11","1100539","04","01","B","02",NA,"3","0",964
"23","2300140","01","01","B","02",NA,"3","0",354
"12","1203493","16","01","A","01",NA,"3","0",315
"04","0400561","04","01","A","02","28","3","0",202
"06","0601263","03","01","A","01",NA,"1","1",69
"31","3103337","07","01","B","02",NA,"3","1",318
"25","2502764","04","01","B","02","24","3","1",663
"17","1702924","05","01","B","01",NA,"3","0",412
"10","1000320","05","01","B","01","26","3","0",828
"18","1800131","03","01","B","03","27","3","0",540
"21","2161179","19","01","B","02",NA,"3","0",1137
"27","2701459","03","01","B","02",NA,"3","0",651
"28","2802903","02","01","B","01",NA,"3","0",882
"30","3010036","01","01","B","01",NA,"3","0",736
"01","0160219","15","01","B","02",NA,"3","0",348
"05","0502593","04","01","B","01","17","3","0",1428
